index,Date,production_1,production_2,production_3,Total production (ton),production_1%,production_2%,production_3%,Clusters,outlier
2,2019-01-03,50.76999999999999,25.227613806903452,61.78859999999994,137.7862138069034,0.3684693743827679,0.18309243798699615,0.44843818763023585,0,0
3,2019-01-04,48.670000000000016,28.4392196098049,63.337900000000026,140.44711960980493,0.34653612074933754,0.20249058641299109,0.45097329283767146,0,0
7,2019-01-12,49.970000000000006,27.171085542771387,65.59,142.73108554277138,0.3500989277141439,0.19036557761363895,0.45953549467221727,0,0
17,2019-01-22,50.05,24.55102551275638,62.53000000000002,137.1310255127564,0.364979404280355,0.17903333998237006,0.45598725573727494,0,0
19,2019-01-24,48.09999999999998,24.84367183591796,55.98929999999997,128.9329718359179,0.37306205941807336,0.1926867230481153,0.43425121753381146,0,0
20,2019-01-25,50.040000000000035,25.989244622311155,62.94930000000004,138.97854462231123,0.36005557646317987,0.18700184760848987,0.4529425759283302,0,0
21,2019-01-26,49.40999999999997,25.442721360680338,62.66999999999999,137.5227213606803,0.3592860838640079,0.18500740175110275,0.45570651438488935,0,0
22,2019-01-27,49.27000000000002,25.293896948474238,63.35930000000005,137.9231969484743,0.35722779844210273,0.18339117355236187,0.45938102800553543,0,0
23,2019-01-28,50.199999999999974,25.835417708854425,63.579999999999984,139.61541770885438,0.3595591434227131,0.18504702512676685,0.45539383145052004,0,0
24,2019-01-29,49.150000000000006,25.4552276138069,63.42929999999994,138.03452761380686,0.35607033145729977,0.18441203120588467,0.4595176373368155,0,0
25,2019-01-30,49.349999999999994,25.86418209104552,63.41930000000008,138.6334820910456,0.35597461201753605,0.1865651911856299,0.457460196796834,0,0
26,2019-01-31,49.609999999999985,24.62856428214107,62.88999999999997,137.12856428214104,0.3617772873194221,0.17960199912447108,0.45862071355610673,0,0
27,2019-02-01,50.11000000000003,24.626063031515756,63.47999999999999,138.21606303151577,0.36254830951576184,0.1781707747376697,0.45928091574656843,0,0
28,2019-02-02,49.86999999999999,25.032516258129064,63.348600000000005,138.25111625812906,0.3607204147768874,0.18106556341571073,0.4582140218074019,0,0
29,2019-02-03,49.28999999999999,27.52626313156578,62.547899999999984,139.36416313156576,0.35367772383111223,0.19751320937205216,0.4488090667968356,0,0
30,2019-02-04,49.55000000000001,24.691095547773887,62.24000000000002,136.48109554777392,0.3630539438530188,0.1809122021527956,0.45603385399418556,0,0
87,2019-04-02,50.13000000000005,26.34817408704352,60.13999999999992,136.61817408704349,0.3669350753294415,0.19285994900104814,0.44020497566951045,0,0
88,2019-04-03,49.92999999999996,26.714607303651825,59.12860000000005,135.77320730365182,0.3677456030653628,0.19675905014091316,0.43549534679372415,0,0
94,2019-04-09,47.489999999999995,26.37568784392196,51.26649999999999,125.13218784392195,0.379518657974993,0.21078259957238576,0.40969874245262117,0,0
96,2019-04-11,51.3,26.068034017008504,56.80720000000001,134.1752340170085,0.3823358339997159,0.19428349954436475,0.4233806664559194,0,0
97,2019-04-12,50.56999999999999,27.688844422211105,60.76440000000001,139.02324442221112,0.3637521208066459,0.1991670136694593,0.43708086552389475,0,0
98,2019-04-13,52.08000000000001,26.660830415207602,61.474400000000045,140.21523041520766,0.37142897990310936,0.19014218595411575,0.4384288341427749,0,0
99,2019-04-14,49.99999999999998,26.095547773886942,62.35719999999988,138.4527477738868,0.36113403889720663,0.1884798112963761,0.45038614980641717,0,0
100,2019-04-15,40.19,26.363181590795396,47.15916359846594,113.71234518926133,0.3534356795922931,0.2318409803871063,0.41472334002060063,0,0
101,2019-04-16,50.87000000000003,27.204852426213105,61.467899999999986,139.54275242621313,0.3645477756137774,0.19495711495728438,0.4404951094289382,0,0
102,2019-04-17,50.919999999999966,26.752126063031515,61.339300000000065,139.01142606303154,0.3663008246308578,0.19244551919711533,0.44125365617202694,0,0
103,2019-04-18,52.220000000000034,25.846673336668335,61.41999999999998,139.48667333666836,0.37437268199780344,0.18529851431960234,0.44032880368259414,0,0
104,2019-04-19,50.759999999999955,26.111805902951474,62.898599999999995,139.7704059029514,0.36316700715060385,0.18681927504082674,0.4500137178085695,0,0
105,2019-04-20,51.030000000000044,26.85592796398199,61.698599999999956,139.584527963982,0.3655849308253396,0.1923990312945846,0.4420160378800757,0,0
106,2019-04-21,50.71999999999998,26.588294147073537,63.15930000000008,140.46759414707358,0.3610797231060617,0.18928418549857723,0.4496360913953612,0,0
110,2019-04-25,51.62000000000001,25.030015007503753,61.05930000000004,137.70931500750382,0.3748475547727997,0.1817597815088969,0.4433926637183033,0,0
111,2019-04-26,51.03999999999999,26.52826413206603,59.769300000000015,137.33756413206603,0.3716390364322983,0.19316102116501804,0.43519994240268367,0,0
112,2019-04-27,51.71000000000002,27.276138069034516,59.75929999999994,138.7454380690345,0.3726969385059787,0.19659124255647914,0.43071181893754207,0,0
113,2019-04-28,50.11999999999999,26.55952976488244,63.57860000000002,140.25812976488245,0.3573411401108596,0.18936178465665213,0.45329707523248824,0,0
114,2019-04-29,32.68,25.421460730365183,62.709300000000034,120.81076073036522,0.27050570497555054,0.2104238113946055,0.519070483629844,0,1
115,2019-04-30,41.44000000000001,26.063031515757878,62.30859999999996,129.81163151575785,0.3192317939164766,0.20077577957714893,0.47999242650637447,0,0
116,2019-05-01,50.75,28.077788894447224,60.249300000000034,139.07708889444726,0.3649055383846636,0.20188651572766883,0.43320794588766753,0,0
117,2019-05-02,42.72,26.20935467733867,61.078599999999994,130.00795467733866,0.3285952779276083,0.20159808484324346,0.4698066372291483,0,0
118,2019-05-03,32.64,26.900950475237618,61.559300000000036,121.10025047523766,0.26952875714054914,0.22213785991085355,0.5083333829485973,0,1
119,2019-05-04,39.09999999999998,28.339169584792394,62.659999999999975,130.09916958479235,0.30053996597200794,0.2178274440585287,0.4816325899694634,0,0
120,2019-05-05,49.61,25.92546273136568,62.02929999999998,137.56476273136565,0.3606301425960196,0.18846005486152384,0.4509098025424566,0,0
121,2019-05-06,50.61000000000003,25.99799899949975,61.587900000000005,138.19589899949978,0.3662192609650683,0.18812424382863818,0.4456564952062936,0,0
122,2019-05-07,49.609999999999985,26.895947973986992,61.72930000000002,138.235247973987,0.35888097086016413,0.1945664970995549,0.44655253204028106,0,0
123,2019-05-08,49.410000000000004,27.985242621310654,61.839999999999975,139.23524262131065,0.3548670514000854,0.20099252239911974,0.44414042620079475,0,0
